Key,Description,Standard,English
SAY.Flowchart.16. ,,"В чаще леса, окутанная густой пеленой тумана, наша деревня уже не одно десятилетие процветает в мире и гармонии. Здесь около двухсот жителей, каждый друг друга знает.","In the misty forest, our village has lived in peace and harmony for many years. There are about two hundred villagers here, everyone knows each other. "
SAY.Flowchart.17. ,,"Я прожил здесь всю жизнь – у нас вообще не бывает чужаков. Туман отрезал нас от того, что находится за его пределами, но раз в год одному счастливчику выпадает шанс пройти ритуал и отправиться в другой мир, за пределами тумана."," I've lived here all my life - we don't have strangers at all. The fog has cut us off from what is beyond it, but once a year one lucky person gets a chance to pass the ritual and go to another world, beyond the fog."
SAY.Flowchart.18. ,,"Они навсегда уходят от нас, поглощенные светом новой жизни. Но если в туман заходит не избранный, то, в лучшем случае, возвращается обезумевшим, а в худшем… даже вспоминать не хочется. 
\n","They leave us forever, absorbed in the light of new life. But for the one who is not chosen, madness or something much worse awaits in the fog."
SAY.Flowchart.19. ,,"Мы почитаем туман, но стараемся не приближаться к границе. 
\nСовсем недавно моего друга избрали. Пока проходил ритуал, он все хвастался, как окажется в лучшем месте, где открыты все возможности. 
\n\n","We respect fog, but we try not to approach the border.
Recently my friend was chosen. Throughout the ritual, he boasted about how he would be in the best place where anything is possible.
"
SAY.Flowchart.20. ,,"Там не существует проблем и тягот жизни. Хотел бы я отправиться с ним. Должно быть за туманом ждет новый, лучший мир.
\n
\n"," There are no problems and hardships in life. I wish I could go with him. There must be a new, better world behind the fog.
"
SAY.Flowchart.32.Дядька,,"У меня есть для тебя кое-что. Перед смертью брат просил передать, когда тебе стукнет восемнадцать."," I have something for you. Before his death, my brother asked me to give it back when you turned eighteen 
"
SAY.Flowchart.37. ,,Отец? Но почему только сейчас?, Father? Why only now? 
\n,,,
SAY.Flowchart.38.Дядька,," Потому что так было нужно, не задавай глупых вопросов. В этой деревне много того, о чем ты не знаешь. Того, что должно быть сделано тихо. Твой отец это понимал, жаль ты не такой же.
"," Because it was necessary, do not ask stupid questions. There are many things in this village that you do not know about. Things to be done quietly. Your father understood this, it’s a pity that you are not the same 
"
SAY.Flowchart.42. ,,Что это значит?,What does this mean?
SAY.Flowchart.40.Дядька,,"То, что теперь от тебя будет многое зависеть. Пойдешь не туда, и погрузишь город в хаос. Не ошибись.
\n","The fact that now a lot of things will depend on you. If you go the wrong way, you will plunge the city into chaos. Make no mistake"
SAY.Flowchart.39. ,,"Дядя ушел, не удосужившись закрыть за собой дверь.","Uncle left without bothering to close the door behind him.
"
SAY.Flowchart.45.Письмо,,"Дорогой сын.    
\nЕсли ты читаешь это письмо, значит, сегодня тебе исполнилось восемнадцать, но я не смог принести поздравления лично.
\nЖаль, что придется сообщить тебе об этом в письме, но наша деревня не так спокойна, как хотелось бы. Ошибки предков лежат на нас тяжелым грузом и заставляют платить высокую цену. Однако некоторым тайнам лучше никогда не показываться на свет. Учти это. 
\nТуман нетерпелив и жаден. Чтобы тьма не поглотила всю деревню, необходимо жертвовать лучшими из нас в день весеннего равноденствия. Но спокойствие бесценно.
\n","Dear son.
If you are reading this letter, then today you turned eighteen, but I could not bring congratulations in person.
It's a pity that I have to inform you about this in a letter, but our village is not as calm as we would like. The mistakes of our ancestors weigh heavily on us and make us pay a high price. However, some mysteries are best never shown. Consider this.
The fog is impatient and greedy. To prevent darkness from devouring the entire village, it is necessary to sacrifice the best of us on the day of the spring equinox. But calmness is priceless.
"
SAY.Flowchart.46.Письмо,,"Если у тебя есть вопросы, то только они смогут дать ответы: 
\nСтароста деревни
\nУчительница
\nДиректриса школы
\nПусть их мнения различаются, но правда многогранна. 
\n
\nИ помни:
\nУшедшие спасают оставшихся.
\n\n","If you have questions, only they can give answers:
Village keeper
Teacher
Headmistress of the school
Their opinions may differ, but the truth is multifaceted.

And remember:
Those who left are saving those who remain. 

"
SAY.Flowchart.620. ,,"Не понимаю. Что все это значит? Ошибки, тайны, туман… Мне нужны ответы. Но к кому пойти в первую очередь?","I do not understand. What does all of this mean? Mistakes, secrets, fog... I need answers. But who should I visit first? 
"
MENU.Flowchart.56,,Староста деревни,Village keeper
MENU.Flowchart.61,,Учительница,"The Teacher
"
MENU.Flowchart.60,,Директриса школы,"Headmistress of the school
"
SAY.Flowchart.440. ,,"Дверь оказалась не заперта, стоило слегка толкнуть, и она открылась. 
\n","The door was unlocked. I pushed it lightly and it opened.
"
SAY.Flowchart.441. ,,"Дом Старосты самый богатый в деревне. Она годами собирала свои сокровища, раскладывая их по сундукам и подпольям. \n\n","The keeper's house is the richest in the village. She spent years collecting her treasures, placing them in chests and undergrounds."
